DIFF  core/method/arity_spec.rb	FAILED: returns -1: expected -1, got -4
DIFF  core/method/call_spec.rb	FAILED: does not call the original method name even if it now exists: expected [:argument], got :not_called
DIFF  core/method/curry_spec.rb	FAILED: expected ArgumentError to be raised
DIFF  core/method/equal_value_spec.rb	FAILED: returns true if a method was defined using the other one: expected true, got false
DIFF  core/method/original_name_spec.rb	ERROR: Method#original_name returns the source UnboundMethod's name (not the name given to define_method): NameError
DIFF  core/method/owner_spec.rb	FAILED: returns the owner of the method: expected MethodSpecs::Methods, got Object
DIFF  core/method/parameters_spec.rb	FAILED: returns [] for a define_method method with explicit no-args || specification: expected [], got [[:req, :"~emptyparams~"]]
DIFF  core/method/source_location_spec.rb	pass=16 fail=0 err=0
DIFF  core/method/super_method_spec.rb	ERROR: Method#super_method returns the method that would be called by super in the method: NoMethodError
DIFF  core/method/to_proc_spec.rb	ERROR: Method#to_proc returns a proc whose binding has the same receiver as the method: NoMethodError
DIFF  core/method/unbind_spec.rb	FAILED: keeps the origin singleton class if there is one: expected truthy from #start_with?
